st_x|st_y|count
-9328116.807244582|5063861.863549856|2
-9328116.5846056|5063783.865296163|2
-9327989.235108133|5063863.346412496|3
-9327492.193581741|5063616.897768651|3
-9327629.005235925|5063617.194333636|3
-9327838.73115658|5063618.232311155|3
-9327907.4152824|5063617.639181129|3
-9328116.139327638|5063738.935029221|3
-9328121.371343706|5063586.203342005|4
-9328159.776568027|5063520.0697882|3
-9328010.831089346|5063424.873853622|3
-9328131.390097877|5063300.319842632|3
-9327766.596126547|5063403.966460988|3
-9327642.920172274|5063403.076785711|3
-9327627.224124072|5063403.076785711|3
-9327491.859623268|5063402.928506504|3
-9327245.620909633|5063261.471182225|2
-9327354.157413157|5063402.7802273|4
-9327355.047969084|5063616.74948616|3
-9327226.362637727|5063616.6012036735|2
-9327028.993180549|5063616.897768651|3
-9324880.972286202|5065257.3380377805|3
-9324881.194925185|5065264.308501697|3
-9327053.149510052|5065790.518906494|2
-9331354.979912268|5067192.947455794|3
-9332077.777365988|5067035.859390189|2
-9330284.197730329|5065220.70610802|2
-9330059.777636888|5065220.557800897|3
-9334562.984997949|5065186.150609394|2
-9333493.427330406|5064049.744059763|2
-9336081.60549135|5064275.44276625|2
-9335650.576422997|5065175.472540415|2
-9335650.465103507|5065177.845443609|3
-9333505.33851592|5065633.15703866|2
-9337858.375883901|5067320.073475322|3
-9337868.505957562|5065160.345296252|5
-9337855.48157714|5060866.35280001|3
-9337725.905689858|5060888.144142823|2
-9337832.104484074|5058709.846000771|3
-9337847.021295842|5069475.537196364|4
-9337836.668583196|5072982.365881666|5
-9337142.591558103|5072778.43004393|2
-9336989.304619279|5072908.004497995|3
-9337123.444605684|5072960.101934196|2
-9337237.435764257|5073026.15179498|2
-9337214.615268646|5072948.3762758635|2
-9337391.947217477|5072929.971473812|2
-9337383.264297197|5073049.009604987|2
-9323426.80577797|5080455.86418844|2
-9323822.32392876|5080495.227799588|3
-9323821.656011816|5080380.70241922|2
-9327073.854935339|5077887.921748015|3
-9327074.634171775|5078162.060413893|4
-9326798.89579308|5078166.21859021|3
-9327072.296462469|5077503.457634897|2
-9326079.215285104|5077250.126590864|2
-9326391.466456776|5077317.096811367|2
-9326415.845425261|5077494.102384133|3
-9325993.944555156|5077249.384129828|4
-9326000.289766131|5078222.50265334|4
-9325997.17282039|5077730.213871642|3
-9326148.90128634|5077696.950016396|2
-9326461.486416487|5077692.4950445015|3
-9326275.47154737|5078371.456522783|4
-9323824.550318575|5079264.188435381|3
-9323827.221986353|5078191.910219405|3
-9323012.251994256|5076714.53006346|2
-9323253.370011315|5072787.929142938|4
-9324903.236184362|5072788.522836935|3
-9324903.236184362|5072797.8735222295|2
-9325990.048372976|5073866.87989022|3
-9325491.448373714|5073871.926855077|2
-9327070.292711634|5072784.070132835|2
-9329231.226666914|5076001.387984803|2
-9330710.328741085|5075583.000222453|3
-9332182.974284789|5075284.141729699|2
-9332419.528202724|5075236.040185197|3
-9332417.301812908|5075214.216415456|3
-9334082.084797721|5073805.129004662|2
-9334091.212995967|5073805.277443817|2
-9334207.764502827|5073778.261555328|3
-9334110.359948384|5073829.9183751475|2
-9334156.44621757|5073869.25493218|2
-9334331.774415571|5073626.558356723|2
-9335377.843670554|5073472.9279022245|4
-9335566.864165923|5073488.2166203875|2
-9335572.986737916|5073419.640229395|2
-9335581.113060744|5073340.525648292|2
-9335393.094440794|5073326.127754943|2
-9335385.079437457|5073404.351619971|3
-9335399.996249223|5073258.591531846|4
-9335403.78111191|5073222.077639003|2
-9335416.36021437|5073095.764385131|4
-9335566.307568468|5073111.052505283|3
-9335523.226925531|5073270.169136498|2
-9335588.460147135|5073276.403237065|3
-9335709.353114136|5073288.2777254945|3
-9335707.905960757|5073122.18464686|5
-9335707.238043813|5073043.220933693|2
-9336002.791291868|5073384.610053371|2
-9335967.83697176|5073393.0707198195|3
-9335915.071533123|5073405.835949921|2
-9335711.468184462|5073453.186195219|2
-9336093.182718392|5073362.938906492|2
-9336190.475953346|5073339.635056328|3
-9336226.32082938|5073331.471300485|2
-9336632.525651287|5073222.67135973|2
-9336601.578832844|5073072.906464294|3
-9336413.894171368|5073286.496551298|3
-9336316.378297433|5073309.948704566|2
-9336083.831881166|5073034.315292333|2
-9336116.67113095|5073026.300222144|4
-9336792.046481593|5073024.073814939|3
-9336785.144673163|5072941.251832192|3
-9336782.918283349|5072629.117311006|2
-9335704.677695524|5072664.293164169|2
-9335433.058137989|5072924.7765763635|2
-9334623.32016196|5072801.287266737|3
-9334860.096718876|5072951.493221621|3
-9334858.983523969|5072802.474656417|3
-9335079.952713192|5072803.216775043|3
-9335080.954588609|5072952.383777739|3
-9334860.87595531|5073171.463081257|2
-9335078.17160134|5073191.501070882|3
-9335155.649966931|5073198.477269632|3
-9334841.061085949|5073423.202627306|3
-9334626.65974668|5073436.413197721|2
-9331405.96423905|5073823.9807955725|3
-9330717.230549512|5073830.512133305|3
-9330322.380315669|5073834.074683022|3
-9330319.152050437|5073299.261640305|2
-9330304.12391918|5071681.940681872|2
-9334087.65077226|5071663.686702828|3
-9334616.195714548|5071663.686702828|3
-9335697.775887094|5071650.626966661|3
